# Catalogo de problemas no estilo LeetCode.
# Formato: D|Titulo  (D = E/M/H = Easy/Medium/Hard)
# Linhas em branco e linhas iniciadas por '#' sao ignoradas pelo DataSeeder.
E|Index Pairs of a String
M|Campus Bikes II
H|Digit Count in Range
E|Product Sales Analysis I
E|Product Sales Analysis II
M|Product Sales Analysis III
E|Greatest Common Divisor of Strings
M|Flip Columns For Maximum Number of Equal Rows
M|Adding Two Negabinary Numbers
H|Number of Submatrices That Sum to Target
E|Project Employees I
E|Project Employees II
M|Project Employees III
E|Occurrences After Bigram
M|Letter Tile Possibilities
M|Insufficient Nodes in Root to Leaf Paths
M|Smallest Subsequence of Distinct Characters
E|Sales Analysis I
E|Sales Analysis II
E|Sales Analysis III
E|Sum of Digits in the Minimum Number
E|High Five
M|Brace Expansion
H|Confusing Number II
E|Duplicate Zeros
M|Largest Values From Labels
M|Shortest Path in Binary Matrix
H|Shortest Common Supersequence
M|Statistics from a Large Sample
M|Car Pooling
H|Find in Mountain Array
H|Brace Expansion II
H|Game Play Analysis V
M|Unpopular Books
E|Two Sum Less Than K
M|Find K-Length Substrings With No Repeated Characters
M|The Earliest Moment When Everyone Become Friends
M|Path With Maximum Minimum Value
E|Distribute Candies to People
M|Path In Zigzag Labelled Binary Tree
M|Filling Bookcase Shelves
H|Parsing A Boolean Expression
M|New Users Daily Count
E|Defanging an IP Address
M|Corporate Flight Bookings
M|Delete Nodes And Return Forest
M|Maximum Nesting Depth of Two Valid Parentheses Strings
M|Highest Grade For Each Student
E|Reported Posts
E|Print in Order
M|Print FooBar Alternately
M|Print Zero Even Odd
M|Building H2O
E|Number of Days in a Month
E|Remove Vowels from a String
M|Maximum Average Subtree
H|Divide Array Into Increasing Sequences
E|Relative Sort Array
M|Lowest Common Ancestor of Deepest Leaves
M|Longest Well-Performing Interval
H|Smallest Sufficient Team
M|Active Businesses
H|User Purchase Platform
E|Number of Equivalent Domino Pairs
M|Shortest Path with Alternating Colors
M|Minimum Cost Tree From Leaf Values
M|Maximum of Absolute Value Expression
M|Reported Posts II
E|Largest Unique Number
E|Armstrong Number
M|Connecting Cities With Minimum Cost
M|Parallel Courses
E|N-th Tribonacci Number
M|Alphabet Board Path
M|Largest 1-Bordered Square
M|Stone Game II
E|User Activity for the Past 30 Days I
E|User Activity for the Past 30 Days II
M|Longest Common Subsequence
M|Decrease Elements To Make Array Zigzag
M|Binary Tree Coloring Game
M|Snapshot Array
H|Longest Chunked Palindrome Decomposition
E|Article Views I
M|Article Views II
E|Check If a Number Is Majority Element in a Sorted Array
M|Minimum Swaps to Group All 1's Together
M|Analyze User Website Visit Pattern
H|String Transforms Into Another String
E|Day of the Year
M|Number of Dice Rolls With Target Sum
M|Swap For Longest Repeated Character Substring
H|Online Majority Element In Subarray
M|Market Analysis I
H|Market Analysis II
E|Find Words That Can Be Formed by Characters
M|Maximum Level Sum of a Binary Tree
M|As Far from Land as Possible
H|Last Substring in Lexicographical Order
M|Product Price at a Given Date
E|Single-Row Keyboard
M|Design File System
M|Minimum Cost to Connect Sticks
H|Optimize Water Distribution in a Village
M|Invalid Transactions
M|Compare Strings by Frequency of the Smallest Character
M|Remove Zero Sum Consecutive Nodes from Linked List
H|Dinner Plate Stacks
E|Immediate Food Delivery I
M|Immediate Food Delivery II
E|Prime Arrangements
E|Diet Plan Performance
M|Can Make Palindrome from Substring
H|Number of Valid Words for Each Puzzle
E|Reformat Department Table
E|Count Substrings with Only One Distinct Letter
M|Before and After Puzzle
M|Shortest Distance to Target Color
H|Maximum Number of Ones
E|Distance Between Bus Stops
E|Day of the Week
M|Maximum Subarray Sum with One Deletion
H|Make Array Strictly Increasing
M|Design Bounded Blocking Queue
E|Maximum Number of Balloons
M|Reverse Substrings Between Each Pair of Parentheses
M|K-Concatenation Maximum Sum
H|Critical Connections in a Network
M|Monthly Transactions I
H|Tournament Winners
M|Fizz Buzz Multithreaded
E|How Many Apples Can You Put into the Basket
M|Minimum Knight Moves
M|Find Smallest Common Element in All Rows
H|Minimum Time to Build Blocks
E|Minimum Absolute Difference
M|Ugly Number III
M|Smallest String With Swaps
